aah	ah
aerate	erát
aerial	erial
aerobatic	erobatik
aerobic	eróbik
aerodrome	erodróm
aerodynamic	erodínamik
aeroplane	eróplán
aerosol	erosol
aesthete	esþét
affair	afár
affect	afekt
affection	afeksion
affidavit	afidávit
affiliate	afiliát
affiliation	afiliásion
affine	afín
affinity	afinité
affirm	afirm
affirmation	afirmásion
affix	afiks
afflict	aflikt
affliction	afliksion
afford	aford
affront	afrunt
afghan	afgan
afghani	afgané
aficionado	afisionadó
afraid	afraʸd
african	afrikan
afrikaner	afrikaner
afro	afró
after	after
afternoon	afternq̇n
aftershock	afterxok
afterthought	afterþåt
age	aʸj
agency	ajensé
agenda	ajenda
agent	ájent
ager	ájer
agglomeration	aglomerásion
agglutinate	aglútinativ
aggravate	agravát
aggravation	agravásion
aggregate	agregat
aggregation	agregásion
aggression	agresion
aggressor	agresor
agitate	ajitát
agitation	ajitásion
agitator	ajitátor
agnostic	agnostik
agonist	agonist
agonize	agoníz
agony	agoné
agree	agré
agreement	agrément
agriculturalist	agrikultúrist
agrochemical	agrókemikal
agronomist	agronomist
ah	a
aid	aʸd
aide	aʸd
ail	aʸl
aileron	áleron
ailment	aʸlment
aim	aʸm
air	aʸr
airbag	aʸrbag
airbrake	aʸrbraʸk
aircondition	aʸrkondision
aircrew	aʸrkruʷ
airdrop	aʸrdrop
airfield	aʸrfeʸld
airframe	aʸrfraʸm
airlift	aʸrlift
airline	aʸrliʸn
airliner	aʸrliʸner
airlock	aʸrlok
airman	aʸrman
airplane	aʸrplaʸn
airport	aʸrport
airship	aʸrxip
airshow	aʸrxoʷ
airstrip	aʸrstrip
airwave	aʸrʷaʸv
airway	aʸrʷaʸ
aisle	íel
aitch	aʸc
alarm	alarm
albanian	albánian
albatross	albatros
album	album
alchemist	alkemist
alcohol	alkohol
alcoholic	alkoholik
alcove	alkóv
alder	ålder
alderman	ålderman
ale	aʸl
alehouse	aʸlhqʷs
alert	alert
alga	alga
algerian	aljérian
algorithm	algoriðem
alibi	alibí
alien	álien
alienate	álienát
alight	aliʸt
align	alín
alignment	alínment
alkali	alkalí
alkaloid	alkaloʸd
allay	alaʸ
allegation	alagásion
allege	alej
allegiance	aléjians
allegory	alegoré
allele	alélé
allergen	alerjen
allergy	alerjé
alleviate	aléviát
alley	alé
alleyway	aléʷaʸ
alliance	alíans
alligator	aligátor
allocate	alokát
allocation	alokásion
allophone	alofón
allot	alot
allotment	alotment
allow	alqʷ
allowance	alqʷans
alloy	aloʸ
allude	alúd
allusion	alúzion
ally	alí
alm	alm
almanac	almanak
almond	almond
alpha	alfa
alphabet	alfabet
alsatian	alsásian
altar	oltar
altarpiece	oltarpeʸs
alter	olter
alteration	olterásion
alternant	olternant
alternate	olternát
alternation	olternásion
alternative	olternativ
alternator	olternátor
altitude	altitúd
am	am
amalgamate	amalgamát
amalgamation	amalgamásion
amass	amas
amateur	amatúr
amaze	amáz
amazon	amazon
ambassador	ambasador
ambiguity	ambigúité
ambition	ambision
ambivalence	ambivalens
amble	ambel
ambulance	ambúlans
ambulanceman	ambúlansman
ambush	ambqx
ameliorate	améliorát
amend	amend
amendment	amendment
amenity	amenité
american	amerikan
amethyst	ameþist
ammonite	amonít
amnesty	amnesté
amoeba	améba
amount	amq́nt
amour	amq̇r
amp	amp
amphetamine	amfetamén
amphibian	amfibian
amphitheatre	amfiþéater
amplification	amplifikásion
amplifier	amplifíer
amplify	amplifí
amplitude	amplitúd
amputate	ampútát
amputation	ampútásion
amulet	amúlet
amuse	amúz
amusement	amúzment
an	an
anabaptist	anabaptist
anachronism	anakronizem
anaesthetic	anesþetik
anaesthetise	anesþetíz
anaesthetist	anesþetist
anaesthetize	anesþetíz
anagram	anagram
analgesic	analjézik
analogue	analog
analogy	analojé
analyse	analíz
analyser	analízer
analysis	analisis
analyst	analist
analyze	analíz
analyzer	analízer
anarchist	anarkist
anathema	anaþema
anatomist	anatomist
ancestor	ansestor
anchor	aŋkor
anchorage	aŋkoraj
anchovy	ancóvé
ancient	ánsient
ancillary	ansilaré
and	and
andesite	andesít
android	androʸd
anecdote	anekdót
anemone	anemoné
aneurysm	anúrizem
angel	ánjel
anger	aŋger
angiosperm	anjiósperm
angle	aŋgel
angler	aŋgeler
anglian	aŋglian
anglican	aŋglikan
anglicize	aŋglisíz
angolan	aŋgólan
angry	aŋgeré
animal	animal
animate	animát
animation	animásion
animator	animátor
animosity	animosité
ankle	aŋkel
anklet	aŋkelet
annal	anal
anneal	anél
annelid	anelid
annex	aneks
annexation	aneksásion
annihilate	aníilát
anniversary	aniversaré
annotate	anótát
annotation	anótásion
announce	anq́ns
announcement	anq́nsment
announcer	anq́nser
annoy	anoʸ
annoyance	anoʸans
annual	anúal
annuity	anúité
annul	anul
anoint	anoʸnt
anomaly	anomalé
anorak	anorak
anorexic	anoreksik
answer	anser
ant	ant
antacid	antasid
antagonise	antagoníz
antagonism	antagonizem
antagonist	antagonist
antagonize	antagoníz
anteater	anteʸter
antecedent	antesédent
antelope	antelóp
antenna	antena
anthem	anþem
anthology	anþolojé
anthropologist	anþropolojist
antibiotic	antibíotik
antibody	antibodé
antic	antik
anticipate	antisipát
anticipation	antisipásion
antidepressant	antidepresant
antidote	antidót
antigen	antijen
antihistamine	antihistamén
antioxidant	antioksidant
antipathy	antipaþé
antique	anték
antiquity	antikwité
antiracist	antiraʸsist
antiseptic	antiseptik
antithesis	antiþesis
antler	antler
anxiety	aŋzíeté
anyway	anéwaʸ
apartment	apartment
ape	aʸp
apennine	apenén
aperitif	aperatéf
aperture	apertúr
apex	ápeks
aphid	áfid
aphorism	aforizem
aphrodisiac	afródéziak
apologetic	apolojetik
apologise	apolojíz
apologist	apolojist
apologize	apolojíz
apology	apolojé
apostle	aposel
apostrophe	apostrofé
apothecary	apoþekaré
app	ap
apparatchik	aparatcik
apparition	aparision
appeal	apél
appear	apér
appearance	apérans
appease	apéz
appellant	apelant
appellation	apelásion
append	apend
appendage	apendaj
appendix	apendiks
appetise	apetíz
appetite	apetít
applaud	aplåd
apple	apel
appliance	aplíans
applicant	aplikant
application	aplikásion
apply	aplí
appoint	apoʸnt
appointee	apoʸnté
appointment	apoʸntment
apportion	aporsion
appraisal	aprázal
appraise	apráz
appraiser	aprázer
appreciate	aprésiát
apprehend	aprehend
apprehension	aprehension
apprentice	aprentis
apprenticeship	aprentisxip
apprise	apríz
approach	apróc
appropriate	aprópriat
appropriate	aprópriát
appropriation	aprópriásion
approval	aprq̇val
approve	aprq̇v
approximate	aproksimat
approximate	aproksimát
approximation	aproksimásion
apricot	aprikot
apron	ápron
apt	apt
aptitude	aptitúd
aquarium	akwarium
aquatic	akwotik
aqueduct	akwedukt
aquifer	akwifer
ar	ar
arab	arab
arabesque	arabesk
arbiter	arbiter
arbitrageur	arbitrazjer
arbitrate	arbitrát
arbitration	arbitrásion
arbitrator	arbitrátor
arc	ark
arcade	arkád
arce	ars
arch	arc
archaeologist	arkéolojist
archbishop	arcbixop
archdeacon	arcdékon
archeologist	arkéolojist
archetype	arketíp
architect	arketekt
architecture	arketektúr
architrave	arkitráv
archive	arkív
archivist	arkivist
archway	arcwaʸ
area	aréa
arena	aréna
argentinian	arjentinian
argue	argú
argument	argúment
aria	aria
arise	ariʸz
aristocracy	aristokrasé
aristocrat	aristokrat
aristotelian	aristotélian
ark	ark
arm	arm
armadillo	armadiló
armament	armament
armband	armband
armchair	armcaʸr
armenian	arménian
armful	armfql
armor	armor
armour	armor
armpit	armpit
armrest	armrest
army	armé
aroma	aróma
aromatherapist	arómaþerapist
aromatic	arómatik
arouse	arq́z
arpeggio	arpejio
arraign	arán
arrange	aránj
arrangement	aránjment
arranger	aránjer
array	araʸ
arrest	arest
arrhythmia	ariðmia
arrival	aríval
arrive	arív
arrogate	arogát
arrow	aró
arrowhead	aróhed
arse	ars
arsehole	arshoʷl
arsenal	arsenal
arsonist	arsonist
art	art
artefact	artefakt
artery	arteré
arthropod	arþropod
artichoke	articók
article	artikel
articulate	artikúlát
articulation	artikúlásion
artifact	artifakt
artisan	artizan
artist	artist
artiste	artést
artwork	artʷurk
aryan	arian
ascend	asend
ascendant	asendant
ascent	asent
ascertain	asertán
ascetic	asetik
ascribe	askríb
ash	ax
ashtray	axtraʸ
asian	ázian
asic	azik
aside	asiʸd
ask	ask
aspect	aspekt
aspersion	asperzion
asphyxiate	asfiksiát
aspirant	aspirant
aspirate	aspirát
aspiration	aspirásion
aspire	aspír
aspirin	aspirin
ass	as
assail	asál
assailant	asálant
assassin	asasin
assassinate	asasinát
assassination	asasinásion
assault	asålt
assay	asaʸ
assemblage	asemblaj
assemble	asembel
assembler	asembeler
assembly	asembelé
assent	asent
assert	asert
assertion	asersion
assess	ases
assessment	asesment
assessor	asesor
asset	aset
asshole	ashoʷl
assign	asín
assignment	asínment
assimilate	asimilát
assimilation	asimilásion
assist	asist
assistant	asistant
associate	asósiat
associate	asósiát
association	asosiásion
associative	asósiativ
assuage	aswáj
assume	asúm
assumption	asumsion
assurance	ascúrans
assure	ascúr
assyrian	asirian
aster	aster
asterisk	asterisk
asteroid	asteroʸd
asthmatic	azmatik
astonish	astonix
astound	astq́nd
astrologer	astrolojer
astronaut	astronåt
astronomer	astronomer
astrophysic	astrófizik
asylum	asílum
asymmetry	ásimetré
atheist	áþéist
athenian	aþénian
athlete	aþlét
atmosphere	atmosfér
atmospheric	atmosferik
atoll	atol
atom	atom
aton	aton
atrocity	atrosité
atrophy	atrofé
attach	atac
attachment	atacment
attack	atak
attacker	ataker
attain	atán
attainer	atáner
attainment	atánment
attempt	atemt
attempter	atemter
attend	atend
attendance	atendans
attendant	atendant
attendee	atendé
attender	atender
attention	atension
attenuate	atenúát
attenuator	atenúátor
attest	atest
attic	atik
attire	atír
attitude	atitúd
attorney	aturné
attract	atrakt
attraction	atraksion
attractor	atraktor
attribute	atribút
attribution	atribúsion
attributive	atribútiv
attune	atún
aubergine	åberzjén
auction	åksion
auctioneer	åksionér
audience	ådiens
audiovisual	ådióvizúal
audit	ådit
audition	ådision
auditor	åditor
augment	ågment
augmentation	ågmentásion
augur	ågur
aunt	ant
aunty	anté
aussie	ozé
austerity	åsterité
austral	åstral
australian	åstrálian
austrian	åstrian
authenticate	åþentikát
author	åþor
authorisation	åþorizásion
authorise	åþoríz
authority	åþorité
authorize	åþoríz
autobiography	åtobíografé
autocatalyst	åtokatalist
autoclave	åtokláv
autocrat	åtokrat
autograph	åtograf
automate	åtomát
automatic	åtomatik
automation	åtomásion
automaton	åtomaton
automobile	åtomobél
autopsy	åtopsé
auxiliary	ågziliaré
avail	avál
avalanch	avalanc
avenge	avenj
avenger	avenjer
avenue	avenú
aver	áver
average	averaj
aversion	averzion
avert	avert
aviary	áviaré
aviator	áviátor
avocado	avokadó
avoid	avoʸd
avow	avqʷ
await	awaʸt
awake	awaʸk
awaken	awaʸken
awakening	awaʸkeniŋ
award	aword
away	awaʸ
awe	å
awning	åniŋ
ax	aks
axe	aks
axehead	akshed
axiom	aksiom
axle	aksel
axon	akson
ayatollah	ayatóla
aye	iʸ
azalea	azáléa
aztec	aztek
babble	babel
babe	baʸb
baboon	babq̇n
baby	bábé
babylonian	babilónian
babysit	bábésit
babysitter	bábésiter
bachelor	bacelor
back	bak
backbench	bakbenc
backbencher	bakbencer
backbit	bakbit
backbone	bakboʷn
backdate	bakdaʸt
backdrop	bakdrop
backer	baker
backfire	bakfiʸr
background	bakgrqʷnd
backhand	bakhand
backhander	bakhander
backing	bakiŋ
backlog	baklog
backpack	bakpak
backpacker	bakpaker
backside	baksiʸd
backstair	bakstaʸr
backstreet	bakstreʸt
backtrack	baktrak
backup	bakup
backwash	bakʷox
backwater	bakwåter
backwood	bakwqd
backyard	bakyard
bacterium	baktérium
bad	bad
baddy	badé
badge	baj
badger	bajer
badland	badland
badly	badlé
baffle	bafel
bag	bag
bagel	bágel
bagpipe	bagpiʸp
baguette	baget
bail	baʸl
bailiff	bálif
bailiwick	báliwik
bain	baʸn
bairn	baʸrn
bait	baʸt
baiter	baʸter
bake	baʸk
baker	baʸker
bakery	baʸkeré
balaclava	balaklava
balance	balans
balcony	balkoné
bald	båld
bale	baʸl
balk	båk
ball	bål
ballad	balad
ballerina	baleréna
ballet	balaʸ
balloon	balq̇n
ballot	balot
ballroom	bålrq̇m
bamboo	bambq̇
bamboozle	bambq̇zel
ban	ban
banality	banalité
banana	banana
band	band
bandage	bandaj
banding	bandiŋ
bandit	bandit
bandsman	bandzman
bandwagon	bandwagon
bandy	bandé
bang	baŋ
banger	baŋer
bangle	baŋgel
banish	banix
banister	banister
bank	baŋk
banker	baŋker
banknote	baŋknoʷt
bankroll	baŋkroll
bankrupt	baŋkrupt
bankruptcy	baŋrupsé
banner	baner
bannister	banister
banquet	baŋkwet
banshee	banxé
bantam	bantam
banter	banter
baptise	baptíz
baptism	baptizem
baptist	baptist
baptize	baptíz
bar	bar
barb	barb
barbarian	barbarian
barbecue	barbekú
barbel	barbel
barber	barber
barbiturate	barbitúrat
bard	bard
bare	baʸr
bargain	bargan
bargainer	barganer
barge	barj
bargeman	barjman
bark	bark
barmaid	barmaʸd
barman	barman
barn	barn
barnacle	barnakel
barometer	barometer
baron	baron
baronet	baronet
barony	baroné
barrack	barak
barrage	barazj
barrel	barel
barricade	barikád
barrier	barier
barrister	barister
barrow	baró
barter	barter
basalt	basolt
base	baʸs
baseline	baʸsliʸn
basement	baʸsment
bash	bax
basic	baʸsik
basilica	basilika
basin	básin
bask	bask
basket	basket
basque	bask
bass	bas
bass	baʸs
bassline	baʸsliʸn
bassoon	basq̇n
bastard	bastard
baste	baʸst
bastion	bastion
bat	bat
batch	bac
bath	baþ
bathe	baʸð
bather	baʸðer
batholith	baþoliþ
bathroom	baþrq̇m
baton	baton
batsman	batsman
batt	bat
battalion	batalion
batten	baten
batter	bater
battery	bateré
battle	batel
battlefield	batelfeʸld
battleground	batelgrqʷnd
battlement	batelment
battler	bateler
battleship	batelxip
bauble	båbel
baulk	båk
bavarian	bavarian
bawl	bål
bay	baʸ
baye	baʸ
bayonet	bayonet
bazaar	bazar
be	beʸ
beach	beʸc
beacon	békon
bead	beʸd
beadle	bédel
beagle	bégel
beak	beʸk
beaker	beʸker
beam	beʸm
bean	beʸn
bear	baʸr
beard	beʸrd
bearer	baʸrer
bearing	baʸriŋ
beast	beʸst
beasty	beʸsté
beat	beʸt
beater	beʸter
beating	beʸtiŋ
beatitude	beatitúd
beautify	bútefí
beauty	búté
beaver	béver
becalm	bekalm
beck	bek
beckon	bekon
become	bekum
bed	bed
bedbug	bedbug
bedeck	bedek
bedevil	bedevil
bedfellow	bedfeló
bedpan	bedpan
bedroom	bedrq̇m
bedsheet	bedxeʸt
bedsit	bedsit
bedsitter	bedsiter
bedspread	bedspred
bedstead	bedsted
bedtime	bedtiʸm
bedwet	bedʷet
bedwetter	bedʷeter
bee	beʸ
beech	beʸc
beef	beʸf
beefburger	beʸfburger
beehive	beʸhiʸv
beekeeper	beʸkeʸper
beep	beʸp
beer	beʸr
beetle	bétel
befall	befål
befit	befit
befriend	befrend
beg	beg
beget	beget
beggar	begar
begin	begin
beginner	beginer
beginning	beginiŋ
begonia	begónia
begrudge	begruj
beguile	begiʸl
behave	beháv
behavior	behávior
behavioralist	behávioralist
behaviorist	beháviorist
behaviour	behávior
behaviouralist	behávioralist
behaviourist	beháviorist
behead	behed
behind	behiʸnd
behold	behoʷld
being	beʸiŋ
belay	belaʸ
belch	belc
beleive	beleʸv
belfry	belfré
belgian	beljian
belie	beliʸ
belief	beleʸf
believe	beleʸv
believer	beleʸver
belittle	belitel
bell	bel
bellend	belend
belligerent	belijerent
bellow	beló
belly	belé
belong	beloŋ
belorussian	belorusian
belt	belt
beluga	belúga
bely	beliʸ
bemoan	bemoʷn
bemuse	bemuʷz
bench	benc
bencher	bencer
benchmark	bencmark
bend	bend
bender	bender
benedictine	benediktén
benefaction	benefaksion
benefactor	benefaktor
benefice	benefis
beneficiary	benefisiaré
benefit	benefit
benzodiazepine	benzódíazepén
bequeath	bekwéþ
bequest	bekwest
berate	berát
bereave	berév
bereavement	berévment
berliner	berliner
berry	beré
berth	berþ
beseech	beseʸc
beset	beset
besiege	beseʸj
besieger	beseʸjer
besmirch	besmirc
besot	besot
best	best
bestow	bestó
bestseller	bestseler
bet	bet
beta	báta
betray	betraʸ
betrayal	betraʸal
betroth	betroʷð
better	beter
bevel	bevel
beverage	beveraj
bewail	bewaʸl
bewilder	bewilder
bewitch	bewic
bias	bías
biase	bías
bib	bib
bible	bíbel
bibliography	bibliografé
bicep	bísep
bicker	biker
bicycle	bísikel
bid	bid
bidder	bider
bide	biʸd
bidet	bidaʸ
biennial	bíenial
bifurcate	bífurkát
bifurcation	bífurkásion
big	big
biggle	bigel
bigot	bigot
bigwig	bigwig
bike	biʸk
biker	biʸker
bikini	bikéné
bile	biʸl
bilge	bilj
bilingual	bíliŋgwal
bill	bil
billboard	bilboʷrd
billet	bilet
billete	bilet
billiard	biliard
billing	biliŋ
billow	biló
bimbo	bimbó
bin	bin
binary	bínaré
bind	biʸnd
binder	biʸnder
binding	biʸndiŋ
binge	binj
bio	bíó
biochemist	bíókemist
biofuel	bíófuʷl
biographer	bíografer
biography	bíografé
biologist	bíolojist
biomaterial	bíómatérial
biomorph	bíómorf
biopsy	bíopsé
biorhythm	bíoriðem
biosensor	bíósenser
biosystem	bíósistem
biphenyl	bifenel
biplane	biplaʸn
birch	birc
bird	bird
birdwatch	birdwoc
birdwatcher	birdwocer
birdy	birdé
birk	birk
biro	biró
birth	birþ
birthday	birþdaʸ
birthmark	birþmark
biscuit	biskut
bisect	bísekt
bishop	bixop
bistro	bistró
bit	bit
bitch	bic
bite	biʸt
bitmap	bitmap
bitter	biter
bittern	bitern
bivalve	bívalv
bivouac	bivwak
bivouack	bivwak
black	black
blackberry	blakberé
blackbird	blakbird
blackboard	blakboʷrd
blackcap	blakkap
blackcurrant	blakkurant
blacken	blaken
blackhead	blakhed
blackleg	blakleg
blacklist	blaklist
blackmail	blakmaʸl
blackmailer	blakmaʸler
blackout	blakqʷt
blackshirt	blakxirt
blacksmith	blaksmiþ
blackspot	blakspot
bladder	blader
blade	blaʸd
blame	blaʸm
blanc	blaŋk
blanch	blanc
bland	bland
blank	blaŋk
blanket	blaŋket
blare	blaʸr
blaspheme	blasfém
blasphemy	blasfemé
blast	blast
blaster	blaster
blastocyst	blastosist
blaze	blaʸz
blazer	blaʸzer
bleach	bleʸc
bleacher	bleʸcer
bleak	bleʸk
bleat	bleʸt
bleed	bleʸd
bleeder	bleʸder
bleep	bleʸp
blemish	blemix
blench	blenc
blend	blend
blender	blender
bless	bles
blessing	blesiŋ
blight	bliʸt
blighter	bliʸter
blind	bliʸnd
blindfold	bliʸndfoʷld
blink	bliŋk
blinker	bliŋker
blip	blip
blister	blister
blitze	blits
blizzard	blizard
bloat	bloʷt
blob	blob
bloc	blok
block	blok
blockade	blokád
blockage	blokaj
blockbuster	blokbuster
blocker	bloker
bloke	bloʷk
blond	blond
blonde	blond
blood	blud
bloodhound	bludhqʷnd
bloodsport	bludspoʷrt
bloodstain	bludstaʸn
bloodworm	bludʷurm
bloody	bludé
bloom	blq̇m
bloomer	blq̇mer
blossom	blosom
blot	blot
blotch	bloc
blouse	blqʷs
blow	bloʷ
blower	bloʷer
blub	blub
blubber	bluber
bludgeon	blujon
blue	bluʷ
bluebell	bluʷbel
bluebird	bluʷbird
blueprint	bluʷprint
bluff	bluf
blunder	blunder
blunt	blunt
blur	blur
blurb	blurb
blurt	blurt
blush	blux
bluster	bluster
bo	boʷ
boa	bóa
boar	boʷr
board	boʷrd
boarder	boʷrder
boardroom	boʷrdrq̇m
boast	boʷst
boat	boʷt
boater	boʷter
boatman	boʷtman
bob	bob
bobbin	bobin
bobble	bobel
bobby	bobé
bod	bod
bode	bodé
bodge	boj
bodice	bodis
body	bodé
bodyguard	bodégard
bodyshell	bodéxel
boffin	bofin
bog	bog
bogey	bógé
boggle	bogel
bohemian	bóhémian
boil	boʸl
boiler	boʸler
boilermaker	boʸlermaʸker
bok	bok
bold	boʷld
bolivian	bólivian
bollard	bolard
bollock	bolok
bolshevik	bolxevik
bolster	bólster
bolt	boʷlt
bomb	bom
bombard	bombard
bombardment	bombardment
bomber	bomer
bombing	bomiŋ
bon	bon
bond	bond
bondholder	bondhoʷlder
bone	boʷn
bonfire	bonfiʸr
bongo	bongó
bonham	bonham
bonk	boŋk
bonker	boŋker
bonnet	bonet
bonus	bónus
boo	bq̇
boob	bq̇b
boobytrap	bq̇bétrap
book	bqk
bookcase	bqkkaʸs
booker	bqker
bookfund	bqkfund
booking	bqkiŋ
booklet	bqklet
booklist	bqklist
bookmaker	bqkmaʸker
bookmark	bqkmark
bookseller	bqkseler
bookshelf	bqkxelf
bookshop	bqkxop
bookstall	bqkstål
bookstore	bqkstoʷr
bookworm	bqkʷurm
booky	bqké
boolean	bq̇léan
boom	bq̇m
boost	bq̇st
booster	bq̇ster
boot	bq̇t
bootee	bq̇té
booth	bq̇þ
bootleg	bq̇tleg
bootstrap	bq̇tstrap
booty	bq̇té
booze	bq̇z
boozer	bq̇zer
bop	bop
border	border
borderer	borderer
borderland	borderland
bore	boʷr
borehole	boʷrhoʷl
boring	boʷriŋ
borough	buró
borrow	boró
borrower	boróer
borrowing	boróiŋ
bosnian	boznian
bosom	bqzom
boss	bos
botanist	botanist
botch	boc
bother	boðer
bottle	botel
bottleneck	botelnek
bottom	botom
bough	bqʷ
boulder	bólder
boule	bq̇l
boulevard	bqlevard
bounce	bqʷns
bouncer	bqʷnser
bound	bqʷnd
boundary	bq́ndaré
bounty	bq́nté
bouquet	bq̇kaʸ
bout	bqʷt
boutique	bq̇ték
bow	boʷ
bow	bqʷ
bowel	bqʷl
bowl	boʷl
bowler	boʷler
bowman	boʷman
box	boks
boxer	bokser
boy	boʸ
boycott	boʸkot
boyfriend	boʸfrend
bra	bra
brace	braʸs
bracelet	bráselet
brachiopod	brakiopod
bracket	braket
brag	brag
brahmin	bramin
braid	braʸd
brain	braʸn
brainwash	braʸnwox
brainwave	braʸnwaʸv
braise	braʸz
brake	braʸk
bramble	brambel
branch	branc
brand	brand
brandish	brandix
brandy	brandé
brash	brax
brass	bras
brassiere	brazér
brat	brat
brave	braʸv
brawl	brål
bray	braʸ
brazier	brázier
brazilian	brazilian
breach	breʸc
bread	bred
breadcrumb	bredkrum
breadwinner	bredwiner
break	braʸk
breakage	braʸkaj
breakaway	braʸkawaʸ
breakdown	braʸkdqʷn
breaker	braʸker
breakfast	brekfast
breakthrough	braʸkþrq̇
breakwater	braʸkwåter
breast	brest
breastfeed	brestfeʸd
breath	breþ
breathalyse	breþalíz
breathe	breʸð
breech	breʸc
breed	breʸd
breeder	breʸder
breeze	breʸz
breton	breton
brew	bruʷ
brewer	bruʷer
brewery	bruʷeré
briar	bríar
bribe	briʸb
brick	brik
brickbat	brikbat
bricklayer	briklaʸer
brickwork	brikwurk
bride	briʸd
bridesmaid	briʸdzmaʸd
bridge	brij
bridgewater	brijwåter
bridle	brídel
bridleway	brídelʷaʸ
brief	breʸf
briefcase	breʸfkaʸs
briefing	breʸfiŋ
brier	bríer
brigade	brigád
brigand	brigand
bright	briʸt
brighten	briʸten
brilliant	briliant
brim	brim
brindle	brindel
brine	briʸn
bring	briŋ
briquette	briket
brisk	brisk
bristle	brisel
bristleworm	briselwurm
brit	brit
britain	britan
britch	bric
britisher	britixer
briton	briton
bro	broʷ
broach	broʷc
broad	bråd
broadcast	brådkast
broadcaster	brådkaster
broaden	bråden
broadside	brådsiʸd
broadstair	brådstaʸr
brocade	brókád
brochure	bróxúr
brogue	broʷg
broker	bróker
brolly	brolé
bronchiole	broŋkiól
bronco	broŋkó
bronze	bronz
brooch	broʷc
brood	brq̇d
brook	brqk
broom	brq̇m
broomstick	brq̇mstik
brothel	broþel
brother	bruðer
brow	brqʷ
brown	brqʷn
browny	brqʷné
browse	brqʷz
browser	brqʷzer
bruise	bruʷz
brunette	brúnet
brush	brux
